[2023-02-04 15:20:11] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-04 15:20:11] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.9
- args.num_cycles        : 30
- args.num_epochs_quiet  : 0
- args.num_epochs_noisy  : 100
- args.prior_precision   : 5.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0000-0100_lr-0.0000001_mo-0.90_pr-01/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-04 15:24:54] [Cycle   1/ 30][Epoch  48/100] trn/posterior_energy  2.978e+04, trn/neg_log_likelihood  3.005e+04, trn/neg_log_prior -2.640e+02, trn/lr  5.392e-08, trn/temperature  1.000e+00, val/acc 6.987e-01, val/nll 8.549e-01
[2023-02-04 15:24:59] [Cycle   1/ 30][Epoch  49/100] trn/posterior_energy  2.999e+04, trn/neg_log_likelihood  2.995e+04, trn/neg_log_prior  4.483e+01, trn/lr  5.236e-08, trn/temperature  1.000e+00, val/acc 6.930e-01, val/nll 8.800e-01
[2023-02-04 15:25:04] [Cycle   1/ 30][Epoch  50/100] trn/posterior_energy  3.001e+04, trn/neg_log_likelihood  2.969e+04, trn/neg_log_prior  3.205e+02, trn/lr  5.079e-08, trn/temperature  1.000e+00, val/acc 7.131e-01, val/nll 8.167e-01
[2023-02-04 15:25:09] [Cycle   1/ 30][Epoch  51/100] trn/posterior_energy  3.019e+04, trn/neg_log_likelihood  2.961e+04, trn/neg_log_prior  5.836e+02, trn/lr  4.922e-08, trn/temperature  1.000e+00, val/acc 6.878e-01, val/nll 8.866e-01
[2023-02-04 15:25:15] [Cycle   1/ 30][Epoch  52/100] trn/posterior_energy  3.005e+04, trn/neg_log_likelihood  2.920e+04, trn/neg_log_prior  8.453e+02, trn/lr  4.765e-08, trn/temperature  1.000e+00, val/acc 7.051e-01, val/nll 8.449e-01
[2023-02-04 15:25:20] [Cycle   1/ 30][Epoch  53/100] trn/posterior_energy  3.000e+04, trn/neg_log_likelihood  2.890e+04, trn/neg_log_prior  1.100e+03, trn/lr  4.608e-08, trn/temperature  1.000e+00, val/acc 7.024e-01, val/nll 8.347e-01
[2023-02-04 15:25:25] [Cycle   1/ 30][Epoch  54/100] trn/posterior_energy  3.006e+04, trn/neg_log_likelihood  2.869e+04, trn/neg_log_prior  1.371e+03, trn/lr  4.452e-08, trn/temperature  1.000e+00, val/acc 7.066e-01, val/nll 8.483e-01
[2023-02-04 15:25:30] [Cycle   1/ 30][Epoch  55/100] trn/posterior_energy  3.027e+04, trn/neg_log_likelihood  2.866e+04, trn/neg_log_prior  1.615e+03, trn/lr  4.296e-08, trn/temperature  1.000e+00, val/acc 7.262e-01, val/nll 7.865e-01
[2023-02-04 15:25:35] [Cycle   1/ 30][Epoch  56/100] trn/posterior_energy  3.019e+04, trn/neg_log_likelihood  2.834e+04, trn/neg_log_prior  1.851e+03, trn/lr  4.141e-08, trn/temperature  1.000e+00, val/acc 7.110e-01, val/nll 8.212e-01
[2023-02-04 15:25:40] [Cycle   1/ 30][Epoch  57/100] trn/posterior_energy  3.014e+04, trn/neg_log_likelihood  2.805e+04, trn/neg_log_prior  2.086e+03, trn/lr  3.986e-08, trn/temperature  1.000e+00, val/acc 7.218e-01, val/nll 8.032e-01
[2023-02-04 15:25:45] [Cycle   1/ 30][Epoch  58/100] trn/posterior_energy  3.011e+04, trn/neg_log_likelihood  2.780e+04, trn/neg_log_prior  2.307e+03, trn/lr  3.833e-08, trn/temperature  1.000e+00, val/acc 7.170e-01, val/nll 8.103e-01
[2023-02-04 15:25:50] [Cycle   1/ 30][Epoch  59/100] trn/posterior_energy  3.019e+04, trn/neg_log_likelihood  2.767e+04, trn/neg_log_prior  2.514e+03, trn/lr  3.681e-08, trn/temperature  1.000e+00, val/acc 7.040e-01, val/nll 8.416e-01
[2023-02-04 15:25:55] [Cycle   1/ 30][Epoch  60/100] trn/posterior_energy  3.034e+04, trn/neg_log_likelihood  2.762e+04, trn/neg_log_prior  2.718e+03, trn/lr  3.530e-08, trn/temperature  1.000e+00, val/acc 7.061e-01, val/nll 8.462e-01
[2023-02-04 15:26:00] [Cycle   1/ 30][Epoch  61/100] trn/posterior_energy  3.029e+04, trn/neg_log_likelihood  2.739e+04, trn/neg_log_prior  2.892e+03, trn/lr  3.381e-08, trn/temperature  1.000e+00, val/acc 7.167e-01, val/nll 7.980e-01
[2023-02-04 15:26:05] [Cycle   1/ 30][Epoch  62/100] trn/posterior_energy  3.031e+04, trn/neg_log_likelihood  2.724e+04, trn/neg_log_prior  3.069e+03, trn/lr  3.233e-08, trn/temperature  1.000e+00, val/acc 7.184e-01, val/nll 7.998e-01
[2023-02-04 15:26:10] [Cycle   1/ 30][Epoch  63/100] trn/posterior_energy  3.029e+04, trn/neg_log_likelihood  2.704e+04, trn/neg_log_prior  3.243e+03, trn/lr  3.087e-08, trn/temperature  1.000e+00, val/acc 7.264e-01, val/nll 7.922e-01
[2023-02-04 15:26:15] [Cycle   1/ 30][Epoch  64/100] trn/posterior_energy  3.042e+04, trn/neg_log_likelihood  2.702e+04, trn/neg_log_prior  3.395e+03, trn/lr  2.943e-08, trn/temperature  1.000e+00, val/acc 7.160e-01, val/nll 8.063e-01
[2023-02-04 15:26:20] [Cycle   1/ 30][Epoch  65/100] trn/posterior_energy  3.037e+04, trn/neg_log_likelihood  2.683e+04, trn/neg_log_prior  3.544e+03, trn/lr  2.801e-08, trn/temperature  1.000e+00, val/acc 7.199e-01, val/nll 8.014e-01
[2023-02-04 15:26:25] [Cycle   1/ 30][Epoch  66/100] trn/posterior_energy  3.044e+04, trn/neg_log_likelihood  2.675e+04, trn/neg_log_prior  3.688e+03, trn/lr  2.661e-08, trn/temperature  1.000e+00, val/acc 7.246e-01, val/nll 7.868e-01
[2023-02-04 15:26:30] [Cycle   1/ 30][Epoch  67/100] trn/posterior_energy  3.020e+04, trn/neg_log_likelihood  2.636e+04, trn/neg_log_prior  3.832e+03, trn/lr  2.523e-08, trn/temperature  1.000e+00, val/acc 7.185e-01, val/nll 8.070e-01
[2023-02-04 15:26:35] [Cycle   1/ 30][Epoch  68/100] trn/posterior_energy  3.017e+04, trn/neg_log_likelihood  2.621e+04, trn/neg_log_prior  3.953e+03, trn/lr  2.388e-08, trn/temperature  1.000e+00, val/acc 7.251e-01, val/nll 7.919e-01
[2023-02-04 15:26:40] [Cycle   1/ 30][Epoch  69/100] trn/posterior_energy  3.030e+04, trn/neg_log_likelihood  2.623e+04, trn/neg_log_prior  4.070e+03, trn/lr  2.255e-08, trn/temperature  1.000e+00, val/acc 7.228e-01, val/nll 8.008e-01
[2023-02-04 15:26:45] [Cycle   1/ 30][Epoch  70/100] trn/posterior_energy  3.028e+04, trn/neg_log_likelihood  2.610e+04, trn/neg_log_prior  4.183e+03, trn/lr  2.125e-08, trn/temperature  1.000e+00, val/acc 7.290e-01, val/nll 7.772e-01
[2023-02-04 15:26:50] [Cycle   1/ 30][Epoch  71/100] trn/posterior_energy  3.029e+04, trn/neg_log_likelihood  2.599e+04, trn/neg_log_prior  4.292e+03, trn/lr  1.998e-08, trn/temperature  1.000e+00, val/acc 7.238e-01, val/nll 7.907e-01
[2023-02-04 15:26:56] [Cycle   1/ 30][Epoch  72/100] trn/posterior_energy  3.028e+04, trn/neg_log_likelihood  2.588e+04, trn/neg_log_prior  4.405e+03, trn/lr  1.874e-08, trn/temperature  1.000e+00, val/acc 7.225e-01, val/nll 8.015e-01
[2023-02-04 15:27:01] [Cycle   1/ 30][Epoch  73/100] trn/posterior_energy  3.036e+04, trn/neg_log_likelihood  2.586e+04, trn/neg_log_prior  4.502e+03, trn/lr  1.753e-08, trn/temperature  1.000e+00, val/acc 7.239e-01, val/nll 7.965e-01
[2023-02-04 15:27:06] [Cycle   1/ 30][Epoch  74/100] trn/posterior_energy  3.025e+04, trn/neg_log_likelihood  2.567e+04, trn/neg_log_prior  4.584e+03, trn/lr  1.635e-08, trn/temperature  1.000e+00, val/acc 7.261e-01, val/nll 7.852e-01
[2023-02-04 15:27:11] [Cycle   1/ 30][Epoch  75/100] trn/posterior_energy  3.013e+04, trn/neg_log_likelihood  2.546e+04, trn/neg_log_prior  4.666e+03, trn/lr  1.521e-08, trn/temperature  1.000e+00, val/acc 7.312e-01, val/nll 7.738e-01
