[2023-02-10 23:19:26] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-10 23:19:26] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 0.3
- args.optim_b1           : 0.9
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.003
- args.rho                : 0.01
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-0.30_b1-0.900_b2-0.999_wd-0.0030_eps-1e-1_rho-0.0100_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-10 23:19:32] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-10 23:28:50] [Epoch    60/  200] trn/loss 8.479e-01, trn/lr 2.391e-01, trn/scale 1.036e-01, val/acc 4.957e-01, val/nll 1.498e+00
[2023-02-10 23:28:58] [Epoch    61/  200] trn/loss 8.583e-01, trn/lr 2.372e-01, trn/scale 1.036e-01, val/acc 5.787e-01, val/nll 1.354e+00
[2023-02-10 23:29:06] [Epoch    62/  200] trn/loss 8.551e-01, trn/lr 2.353e-01, trn/scale 1.036e-01, val/acc 4.410e-01, val/nll 1.747e+00
[2023-02-10 23:29:14] [Epoch    63/  200] trn/loss 8.530e-01, trn/lr 2.333e-01, trn/scale 1.036e-01, val/acc 5.472e-01, val/nll 1.402e+00
[2023-02-10 23:29:22] [Epoch    64/  200] trn/loss 8.426e-01, trn/lr 2.314e-01, trn/scale 1.036e-01, val/acc 4.006e-01, val/nll 2.106e+00
[2023-02-10 23:29:30] [Epoch    65/  200] trn/loss 8.302e-01, trn/lr 2.294e-01, trn/scale 1.035e-01, val/acc 4.450e-01, val/nll 1.886e+00
[2023-02-10 23:29:39] [Epoch    66/  200] trn/loss 8.465e-01, trn/lr 2.274e-01, trn/scale 1.035e-01, val/acc 5.579e-01, val/nll 1.382e+00
[2023-02-10 23:29:47] [Epoch    67/  200] trn/loss 8.482e-01, trn/lr 2.253e-01, trn/scale 1.035e-01, val/acc 6.065e-01, val/nll 1.192e+00
[2023-02-10 23:29:55] [Epoch    68/  200] trn/loss 8.291e-01, trn/lr 2.233e-01, trn/scale 1.035e-01, val/acc 3.598e-01, val/nll 2.789e+00
[2023-02-10 23:30:03] [Epoch    69/  200] trn/loss 8.316e-01, trn/lr 2.212e-01, trn/scale 1.035e-01, val/acc 5.795e-01, val/nll 1.231e+00
[2023-02-10 23:30:11] [Epoch    70/  200] trn/loss 8.336e-01, trn/lr 2.192e-01, trn/scale 1.035e-01, val/acc 5.124e-01, val/nll 1.601e+00
[2023-02-10 23:30:20] [Epoch    71/  200] trn/loss 8.248e-01, trn/lr 2.171e-01, trn/scale 1.035e-01, val/acc 5.021e-01, val/nll 1.672e+00
[2023-02-10 23:30:28] [Epoch    72/  200] trn/loss 8.251e-01, trn/lr 2.149e-01, trn/scale 1.035e-01, val/acc 4.727e-01, val/nll 1.840e+00
[2023-02-10 23:30:36] [Epoch    73/  200] trn/loss 8.339e-01, trn/lr 2.128e-01, trn/scale 1.035e-01, val/acc 5.304e-01, val/nll 1.448e+00
[2023-02-10 23:30:44] [Epoch    74/  200] trn/loss 8.203e-01, trn/lr 2.107e-01, trn/scale 1.035e-01, val/acc 4.937e-01, val/nll 1.521e+00
[2023-02-10 23:30:52] [Epoch    75/  200] trn/loss 8.129e-01, trn/lr 2.085e-01, trn/scale 1.035e-01, val/acc 6.361e-01, val/nll 1.005e+00
[2023-02-10 23:31:00] [Epoch    76/  200] trn/loss 8.059e-01, trn/lr 2.063e-01, trn/scale 1.035e-01, val/acc 5.977e-01, val/nll 1.239e+00
[2023-02-10 23:31:09] [Epoch    77/  200] trn/loss 8.033e-01, trn/lr 2.041e-01, trn/scale 1.035e-01, val/acc 5.858e-01, val/nll 1.256e+00
[2023-02-10 23:31:17] [Epoch    78/  200] trn/loss 8.030e-01, trn/lr 2.019e-01, trn/scale 1.035e-01, val/acc 3.999e-01, val/nll 2.182e+00
[2023-02-10 23:31:25] [Epoch    79/  200] trn/loss 7.987e-01, trn/lr 1.997e-01, trn/scale 1.035e-01, val/acc 5.417e-01, val/nll 1.458e+00
[2023-02-10 23:31:33] [Epoch    80/  200] trn/loss 7.975e-01, trn/lr 1.975e-01, trn/scale 1.035e-01, val/acc 5.662e-01, val/nll 1.387e+00
[2023-02-10 23:31:41] [Epoch    81/  200] trn/loss 7.983e-01, trn/lr 1.952e-01, trn/scale 1.035e-01, val/acc 5.844e-01, val/nll 1.259e+00
[2023-02-10 23:31:49] [Epoch    82/  200] trn/loss 7.905e-01, trn/lr 1.930e-01, trn/scale 1.035e-01, val/acc 4.775e-01, val/nll 1.995e+00
[2023-02-10 23:31:58] [Epoch    83/  200] trn/loss 7.888e-01, trn/lr 1.907e-01, trn/scale 1.035e-01, val/acc 6.574e-01, val/nll 1.075e+00
[2023-02-10 23:32:06] [Epoch    84/  200] trn/loss 7.907e-01, trn/lr 1.885e-01, trn/scale 1.035e-01, val/acc 6.757e-01, val/nll 9.703e-01
[2023-02-10 23:32:14] [Epoch    85/  200] trn/loss 7.756e-01, trn/lr 1.862e-01, trn/scale 1.035e-01, val/acc 6.085e-01, val/nll 1.233e+00
[2023-02-10 23:32:22] [Epoch    86/  200] trn/loss 7.821e-01, trn/lr 1.839e-01, trn/scale 1.035e-01, val/acc 6.237e-01, val/nll 1.141e+00
[2023-02-10 23:32:30] [Epoch    87/  200] trn/loss 7.799e-01, trn/lr 1.816e-01, trn/scale 1.035e-01, val/acc 5.556e-01, val/nll 1.444e+00
[2023-02-10 23:32:39] [Epoch    88/  200] trn/loss 7.712e-01, trn/lr 1.793e-01, trn/scale 1.035e-01, val/acc 4.735e-01, val/nll 1.951e+00
[2023-02-10 23:32:47] [Epoch    89/  200] trn/loss 7.742e-01, trn/lr 1.770e-01, trn/scale 1.035e-01, val/acc 6.178e-01, val/nll 1.146e+00
[2023-02-10 23:32:55] [Epoch    90/  200] trn/loss 7.620e-01, trn/lr 1.746e-01, trn/scale 1.035e-01, val/acc 6.711e-01, val/nll 9.921e-01
[2023-02-10 23:33:03] [Epoch    91/  200] trn/loss 7.563e-01, trn/lr 1.723e-01, trn/scale 1.035e-01, val/acc 6.347e-01, val/nll 1.095e+00
[2023-02-10 23:33:11] [Epoch    92/  200] trn/loss 7.538e-01, trn/lr 1.700e-01, trn/scale 1.035e-01, val/acc 5.936e-01, val/nll 1.170e+00
[2023-02-10 23:33:20] [Epoch    93/  200] trn/loss 7.532e-01, trn/lr 1.676e-01, trn/scale 1.035e-01, val/acc 5.340e-01, val/nll 1.664e+00
[2023-02-10 23:33:28] [Epoch    94/  200] trn/loss 7.458e-01, trn/lr 1.653e-01, trn/scale 1.035e-01, val/acc 5.502e-01, val/nll 1.446e+00
