[2023-02-05 07:21:33] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-05 07:21:33] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 50
- args.num_epochs_noisy  : 0
- args.prior_precision   : 5.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0050-0000_lr-0.0000001_mo-0.99_pr-01/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 07:25:23] [Cycle   1/ 30][Epoch  48/ 50] trn/posterior_energy -2.357e+04, trn/neg_log_likelihood  5.974e+01, trn/neg_log_prior -2.363e+04, trn/lr  6.242e-10, trn/temperature  0.000e+00, val/acc 7.759e-01, val/nll 1.182e+00
[2023-02-05 07:25:27] [Cycle   1/ 30][Epoch  49/ 50] trn/posterior_energy -2.357e+04, trn/neg_log_likelihood  5.962e+01, trn/neg_log_prior -2.363e+04, trn/lr  2.304e-10, trn/temperature  0.000e+00, val/acc 7.759e-01, val/nll 1.182e+00
[2023-02-05 07:25:36] [Cycle   1/ 30][Epoch  50/ 50] trn/posterior_energy -2.358e+04, trn/neg_log_likelihood  5.957e+01, trn/neg_log_prior -2.363e+04, trn/lr  3.299e-11, trn/temperature  0.000e+00, val/acc 7.760e-01, val/nll 1.182e+00, val/ens_acc 7.760e-01, val/ens_nll 1.180e+00 (test_acc: 7.645e-01, test_nll: 1.238e+00, test_ens_acc: 7.645e-01, test_ens_nll: 1.235e+00)
[2023-02-05 07:25:41] [Cycle   2/ 30][Epoch   1/ 50] trn/posterior_energy -2.369e+04, trn/neg_log_likelihood  7.318e+01, trn/neg_log_prior -2.376e+04, trn/lr  9.997e-08, trn/temperature  0.000e+00, val/acc 7.769e-01, val/nll 1.194e+00
[2023-02-05 07:25:45] [Cycle   2/ 30][Epoch   2/ 50] trn/posterior_energy -2.402e+04, trn/neg_log_likelihood  7.603e+01, trn/neg_log_prior -2.410e+04, trn/lr  9.977e-08, trn/temperature  0.000e+00, val/acc 7.746e-01, val/nll 1.214e+00
[2023-02-05 07:25:49] [Cycle   2/ 30][Epoch   3/ 50] trn/posterior_energy -2.437e+04, trn/neg_log_likelihood  6.157e+01, trn/neg_log_prior -2.444e+04, trn/lr  9.938e-08, trn/temperature  0.000e+00, val/acc 7.735e-01, val/nll 1.234e+00
[2023-02-05 07:25:53] [Cycle   2/ 30][Epoch   4/ 50] trn/posterior_energy -2.470e+04, trn/neg_log_likelihood  5.431e+01, trn/neg_log_prior -2.476e+04, trn/lr  9.879e-08, trn/temperature  0.000e+00, val/acc 7.742e-01, val/nll 1.223e+00
[2023-02-05 07:25:57] [Cycle   2/ 30][Epoch   5/ 50] trn/posterior_energy -2.501e+04, trn/neg_log_likelihood  5.436e+01, trn/neg_log_prior -2.506e+04, trn/lr  9.801e-08, trn/temperature  0.000e+00, val/acc 7.735e-01, val/nll 1.227e+00
[2023-02-05 07:26:02] [Cycle   2/ 30][Epoch   6/ 50] trn/posterior_energy -2.530e+04, trn/neg_log_likelihood  5.091e+01, trn/neg_log_prior -2.535e+04, trn/lr  9.704e-08, trn/temperature  0.000e+00, val/acc 7.735e-01, val/nll 1.237e+00
[2023-02-05 07:26:06] [Cycle   2/ 30][Epoch   7/ 50] trn/posterior_energy -2.557e+04, trn/neg_log_likelihood  4.817e+01, trn/neg_log_prior -2.562e+04, trn/lr  9.588e-08, trn/temperature  0.000e+00, val/acc 7.696e-01, val/nll 1.237e+00
[2023-02-05 07:26:10] [Cycle   2/ 30][Epoch   8/ 50] trn/posterior_energy -2.583e+04, trn/neg_log_likelihood  4.470e+01, trn/neg_log_prior -2.587e+04, trn/lr  9.454e-08, trn/temperature  0.000e+00, val/acc 7.723e-01, val/nll 1.249e+00
[2023-02-05 07:26:14] [Cycle   2/ 30][Epoch   9/ 50] trn/posterior_energy -2.607e+04, trn/neg_log_likelihood  4.215e+01, trn/neg_log_prior -2.611e+04, trn/lr  9.303e-08, trn/temperature  0.000e+00, val/acc 7.721e-01, val/nll 1.250e+00
[2023-02-05 07:26:18] [Cycle   2/ 30][Epoch  10/ 50] trn/posterior_energy -2.630e+04, trn/neg_log_likelihood  4.171e+01, trn/neg_log_prior -2.634e+04, trn/lr  9.135e-08, trn/temperature  0.000e+00, val/acc 7.718e-01, val/nll 1.248e+00
[2023-02-05 07:26:23] [Cycle   2/ 30][Epoch  11/ 50] trn/posterior_energy -2.651e+04, trn/neg_log_likelihood  4.036e+01, trn/neg_log_prior -2.655e+04, trn/lr  8.950e-08, trn/temperature  0.000e+00, val/acc 7.720e-01, val/nll 1.256e+00
[2023-02-05 07:26:27] [Cycle   2/ 30][Epoch  12/ 50] trn/posterior_energy -2.671e+04, trn/neg_log_likelihood  3.957e+01, trn/neg_log_prior -2.675e+04, trn/lr  8.750e-08, trn/temperature  0.000e+00, val/acc 7.719e-01, val/nll 1.257e+00
[2023-02-05 07:26:31] [Cycle   2/ 30][Epoch  13/ 50] trn/posterior_energy -2.689e+04, trn/neg_log_likelihood  4.086e+01, trn/neg_log_prior -2.693e+04, trn/lr  8.535e-08, trn/temperature  0.000e+00, val/acc 7.712e-01, val/nll 1.253e+00
[2023-02-05 07:26:35] [Cycle   2/ 30][Epoch  14/ 50] trn/posterior_energy -2.705e+04, trn/neg_log_likelihood  4.915e+01, trn/neg_log_prior -2.710e+04, trn/lr  8.306e-08, trn/temperature  0.000e+00, val/acc 7.708e-01, val/nll 1.265e+00
[2023-02-05 07:26:39] [Cycle   2/ 30][Epoch  15/ 50] trn/posterior_energy -2.722e+04, trn/neg_log_likelihood  4.510e+01, trn/neg_log_prior -2.726e+04, trn/lr  8.064e-08, trn/temperature  0.000e+00, val/acc 7.713e-01, val/nll 1.268e+00
[2023-02-05 07:26:44] [Cycle   2/ 30][Epoch  16/ 50] trn/posterior_energy -9.629e+03, trn/neg_log_likelihood  1.765e+04, trn/neg_log_prior -2.728e+04, trn/lr  7.810e-08, trn/temperature  0.000e+00, val/acc 6.283e-01, val/nll 1.048e+00
[2023-02-05 07:26:48] [Cycle   2/ 30][Epoch  17/ 50] trn/posterior_energy  7.064e+03, trn/neg_log_likelihood  3.338e+04, trn/neg_log_prior -2.632e+04, trn/lr  7.545e-08, trn/temperature  0.000e+00, val/acc 7.241e-01, val/nll 8.081e-01
[2023-02-05 07:26:52] [Cycle   2/ 30][Epoch  18/ 50] trn/posterior_energy -3.018e+02, trn/neg_log_likelihood  2.566e+04, trn/neg_log_prior -2.597e+04, trn/lr  7.270e-08, trn/temperature  0.000e+00, val/acc 7.530e-01, val/nll 7.309e-01
[2023-02-05 07:26:56] [Cycle   2/ 30][Epoch  19/ 50] trn/posterior_energy -4.298e+03, trn/neg_log_likelihood  2.144e+04, trn/neg_log_prior -2.574e+04, trn/lr  6.986e-08, trn/temperature  0.000e+00, val/acc 7.546e-01, val/nll 7.274e-01
[2023-02-05 07:27:00] [Cycle   2/ 30][Epoch  20/ 50] trn/posterior_energy -5.849e+03, trn/neg_log_likelihood  1.965e+04, trn/neg_log_prior -2.550e+04, trn/lr  6.694e-08, trn/temperature  0.000e+00, val/acc 7.678e-01, val/nll 6.875e-01
[2023-02-05 07:27:04] [Cycle   2/ 30][Epoch  21/ 50] trn/posterior_energy -9.654e+03, trn/neg_log_likelihood  1.562e+04, trn/neg_log_prior -2.528e+04, trn/lr  6.395e-08, trn/temperature  0.000e+00, val/acc 7.680e-01, val/nll 7.353e-01
[2023-02-05 07:27:09] [Cycle   2/ 30][Epoch  22/ 50] trn/posterior_energy -1.103e+04, trn/neg_log_likelihood  1.406e+04, trn/neg_log_prior -2.509e+04, trn/lr  6.091e-08, trn/temperature  0.000e+00, val/acc 7.587e-01, val/nll 7.757e-01
[2023-02-05 07:27:13] [Cycle   2/ 30][Epoch  23/ 50] trn/posterior_energy -1.241e+04, trn/neg_log_likelihood  1.250e+04, trn/neg_log_prior -2.491e+04, trn/lr  5.782e-08, trn/temperature  0.000e+00, val/acc 7.695e-01, val/nll 7.146e-01
