[2023-02-05 10:16:50] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-05 10:16:50] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.9
- args.prior_precision   : 20.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000001_mo-0.90_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 10:17:04] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-05 10:28:28] [Epoch    51/  500] trn/posterior_energy  2.537e+06, trn/neg_log_likelihood  2.734e+03, trn/neg_log_prior  2.534e+06, trn/lr  9.750e-08, val/acc 7.539e-01, val/nll 1.061e+00
[2023-02-05 10:28:40] [Epoch    52/  500] trn/posterior_energy  2.535e+06, trn/neg_log_likelihood  1.775e+03, trn/neg_log_prior  2.533e+06, trn/lr  9.741e-08, val/acc 7.434e-01, val/nll 1.144e+00
[2023-02-05 10:28:53] [Epoch    53/  500] trn/posterior_energy  2.534e+06, trn/neg_log_likelihood  9.584e+02, trn/neg_log_prior  2.533e+06, trn/lr  9.730e-08, val/acc 7.600e-01, val/nll 1.043e+00
[2023-02-05 10:29:05] [Epoch    54/  500] trn/posterior_energy  2.534e+06, trn/neg_log_likelihood  1.755e+03, trn/neg_log_prior  2.532e+06, trn/lr  9.720e-08, val/acc 7.515e-01, val/nll 1.060e+00
[2023-02-05 10:29:17] [Epoch    55/  500] trn/posterior_energy  2.533e+06, trn/neg_log_likelihood  1.627e+03, trn/neg_log_prior  2.531e+06, trn/lr  9.710e-08, val/acc 7.479e-01, val/nll 1.107e+00
[2023-02-05 10:29:30] [Epoch    56/  500] trn/posterior_energy  2.533e+06, trn/neg_log_likelihood  1.702e+03, trn/neg_log_prior  2.531e+06, trn/lr  9.699e-08, val/acc 7.712e-01, val/nll 9.855e-01 (best_acc: 7.649e-01 -> 7.712e-01, test_acc: 7.627e-01, test_nll: 1.004e+00)
[2023-02-05 10:29:42] [Epoch    57/  500] trn/posterior_energy  2.532e+06, trn/neg_log_likelihood  1.519e+03, trn/neg_log_prior  2.530e+06, trn/lr  9.688e-08, val/acc 7.546e-01, val/nll 1.078e+00
[2023-02-05 10:29:54] [Epoch    58/  500] trn/posterior_energy  2.532e+06, trn/neg_log_likelihood  1.876e+03, trn/neg_log_prior  2.530e+06, trn/lr  9.677e-08, val/acc 7.471e-01, val/nll 1.066e+00
[2023-02-05 10:30:06] [Epoch    59/  500] trn/posterior_energy  2.531e+06, trn/neg_log_likelihood  1.620e+03, trn/neg_log_prior  2.529e+06, trn/lr  9.666e-08, val/acc 7.561e-01, val/nll 1.020e+00
[2023-02-05 10:30:19] [Epoch    60/  500] trn/posterior_energy  2.530e+06, trn/neg_log_likelihood  9.597e+02, trn/neg_log_prior  2.529e+06, trn/lr  9.655e-08, val/acc 7.588e-01, val/nll 1.064e+00
[2023-02-05 10:30:31] [Epoch    61/  500] trn/posterior_energy  2.530e+06, trn/neg_log_likelihood  1.491e+03, trn/neg_log_prior  2.528e+06, trn/lr  9.643e-08, val/acc 7.563e-01, val/nll 1.096e+00
[2023-02-05 10:30:43] [Epoch    62/  500] trn/posterior_energy  2.529e+06, trn/neg_log_likelihood  1.696e+03, trn/neg_log_prior  2.527e+06, trn/lr  9.631e-08, val/acc 7.514e-01, val/nll 1.080e+00
[2023-02-05 10:30:55] [Epoch    63/  500] trn/posterior_energy  2.529e+06, trn/neg_log_likelihood  1.998e+03, trn/neg_log_prior  2.527e+06, trn/lr  9.619e-08, val/acc 7.621e-01, val/nll 1.027e+00
[2023-02-05 10:31:07] [Epoch    64/  500] trn/posterior_energy  2.528e+06, trn/neg_log_likelihood  1.143e+03, trn/neg_log_prior  2.526e+06, trn/lr  9.607e-08, val/acc 7.689e-01, val/nll 1.002e+00
[2023-02-05 10:31:19] [Epoch    65/  500] trn/posterior_energy  2.527e+06, trn/neg_log_likelihood  1.324e+03, trn/neg_log_prior  2.526e+06, trn/lr  9.595e-08, val/acc 7.625e-01, val/nll 1.041e+00
[2023-02-05 10:31:31] [Epoch    66/  500] trn/posterior_energy  2.528e+06, trn/neg_log_likelihood  2.327e+03, trn/neg_log_prior  2.525e+06, trn/lr  9.583e-08, val/acc 7.398e-01, val/nll 1.111e+00
[2023-02-05 10:31:43] [Epoch    67/  500] trn/posterior_energy  2.527e+06, trn/neg_log_likelihood  1.469e+03, trn/neg_log_prior  2.525e+06, trn/lr  9.570e-08, val/acc 7.698e-01, val/nll 1.006e+00
[2023-02-05 10:31:55] [Epoch    68/  500] trn/posterior_energy  2.525e+06, trn/neg_log_likelihood  9.326e+02, trn/neg_log_prior  2.525e+06, trn/lr  9.557e-08, val/acc 7.514e-01, val/nll 1.066e+00
[2023-02-05 10:32:07] [Epoch    69/  500] trn/posterior_energy  2.526e+06, trn/neg_log_likelihood  1.478e+03, trn/neg_log_prior  2.524e+06, trn/lr  9.544e-08, val/acc 7.480e-01, val/nll 1.120e+00
[2023-02-05 10:32:19] [Epoch    70/  500] trn/posterior_energy  2.525e+06, trn/neg_log_likelihood  1.753e+03, trn/neg_log_prior  2.524e+06, trn/lr  9.531e-08, val/acc 7.409e-01, val/nll 1.145e+00
