[2023-02-08 01:08:37] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-08 01:08:37] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.9
- args.num_cycles        : 30
- args.num_epochs_quiet  : 180
- args.num_epochs_noisy  : 20
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0180-0020_lr-0.0000010_mo-0.90_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-08 01:12:50] [Cycle   1/ 30][Epoch  51/200] trn/posterior_energy -1.196e+05, trn/neg_log_likelihood  1.633e+01, trn/neg_log_prior -1.196e+05, trn/lr  8.508e-07, trn/temperature  0.000e+00, val/acc 8.023e-01, val/nll 1.029e+00
[2023-02-08 01:12:54] [Cycle   1/ 30][Epoch  52/200] trn/posterior_energy -1.197e+05, trn/neg_log_likelihood  1.552e+01, trn/neg_log_prior -1.197e+05, trn/lr  8.451e-07, trn/temperature  0.000e+00, val/acc 8.019e-01, val/nll 1.023e+00
[2023-02-08 01:12:58] [Cycle   1/ 30][Epoch  53/200] trn/posterior_energy -1.198e+05, trn/neg_log_likelihood  1.526e+01, trn/neg_log_prior -1.199e+05, trn/lr  8.394e-07, trn/temperature  0.000e+00, val/acc 8.022e-01, val/nll 1.016e+00
[2023-02-08 01:13:02] [Cycle   1/ 30][Epoch  54/200] trn/posterior_energy -1.200e+05, trn/neg_log_likelihood  1.527e+01, trn/neg_log_prior -1.200e+05, trn/lr  8.336e-07, trn/temperature  0.000e+00, val/acc 8.029e-01, val/nll 1.010e+00
[2023-02-08 01:13:06] [Cycle   1/ 30][Epoch  55/200] trn/posterior_energy -1.201e+05, trn/neg_log_likelihood  1.547e+01, trn/neg_log_prior -1.201e+05, trn/lr  8.277e-07, trn/temperature  0.000e+00, val/acc 8.033e-01, val/nll 1.005e+00
[2023-02-08 01:13:10] [Cycle   1/ 30][Epoch  56/200] trn/posterior_energy -1.202e+05, trn/neg_log_likelihood  1.574e+01, trn/neg_log_prior -1.202e+05, trn/lr  8.217e-07, trn/temperature  0.000e+00, val/acc 8.024e-01, val/nll 9.993e-01
[2023-02-08 01:13:14] [Cycle   1/ 30][Epoch  57/200] trn/posterior_energy -1.204e+05, trn/neg_log_likelihood  1.607e+01, trn/neg_log_prior -1.204e+05, trn/lr  8.157e-07, trn/temperature  0.000e+00, val/acc 8.031e-01, val/nll 9.928e-01
[2023-02-08 01:13:19] [Cycle   1/ 30][Epoch  58/200] trn/posterior_energy -1.205e+05, trn/neg_log_likelihood  1.643e+01, trn/neg_log_prior -1.205e+05, trn/lr  8.095e-07, trn/temperature  0.000e+00, val/acc 8.024e-01, val/nll 9.859e-01
[2023-02-08 01:13:23] [Cycle   1/ 30][Epoch  59/200] trn/posterior_energy -1.206e+05, trn/neg_log_likelihood  1.685e+01, trn/neg_log_prior -1.206e+05, trn/lr  8.033e-07, trn/temperature  0.000e+00, val/acc 8.027e-01, val/nll 9.824e-01
[2023-02-08 01:13:27] [Cycle   1/ 30][Epoch  60/200] trn/posterior_energy -1.207e+05, trn/neg_log_likelihood  1.722e+01, trn/neg_log_prior -1.207e+05, trn/lr  7.971e-07, trn/temperature  0.000e+00, val/acc 8.033e-01, val/nll 9.773e-01
