[2023-02-14 15:37:08] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-14 15:37:08] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR100_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.7
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.001
- args.rho                : 0.1
- args.num_data_factor    : 4.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR100_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.700_b2-0.999_wd-0.0010_eps-1e-1_rho-0.1000_factor-4.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-14 15:37:14] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-14 15:48:24] [Epoch    74/  200] trn/loss 4.621e+00, trn/lr 2.107e+00, trn/scale 1.010e-01, val/acc 9.956e-03, val/nll 4.621e+00
[2023-02-14 15:48:33] [Epoch    75/  200] trn/loss 4.623e+00, trn/lr 2.085e+00, trn/scale 1.010e-01, val/acc 9.181e-03, val/nll 4.618e+00
[2023-02-14 15:48:41] [Epoch    76/  200] trn/loss 4.622e+00, trn/lr 2.063e+00, trn/scale 1.010e-01, val/acc 1.062e-02, val/nll 4.626e+00
[2023-02-14 15:48:49] [Epoch    77/  200] trn/loss 4.621e+00, trn/lr 2.041e+00, trn/scale 1.010e-01, val/acc 1.007e-02, val/nll 4.617e+00
[2023-02-14 15:48:57] [Epoch    78/  200] trn/loss 4.622e+00, trn/lr 2.019e+00, trn/scale 1.010e-01, val/acc 8.518e-03, val/nll 4.621e+00
[2023-02-14 15:49:05] [Epoch    79/  200] trn/loss 4.621e+00, trn/lr 1.997e+00, trn/scale 1.010e-01, val/acc 9.292e-03, val/nll 4.624e+00
[2023-02-14 15:49:13] [Epoch    80/  200] trn/loss 4.622e+00, trn/lr 1.975e+00, trn/scale 1.010e-01, val/acc 8.518e-03, val/nll 4.627e+00
[2023-02-14 15:49:22] [Epoch    81/  200] trn/loss 4.621e+00, trn/lr 1.952e+00, trn/scale 1.010e-01, val/acc 9.181e-03, val/nll 4.621e+00
[2023-02-14 15:49:30] [Epoch    82/  200] trn/loss 4.621e+00, trn/lr 1.930e+00, trn/scale 1.010e-01, val/acc 1.007e-02, val/nll 4.623e+00
[2023-02-14 15:49:38] [Epoch    83/  200] trn/loss 4.621e+00, trn/lr 1.907e+00, trn/scale 1.010e-01, val/acc 1.128e-02, val/nll 4.620e+00
[2023-02-14 15:49:46] [Epoch    84/  200] trn/loss 4.621e+00, trn/lr 1.885e+00, trn/scale 1.010e-01, val/acc 9.292e-03, val/nll 4.619e+00
[2023-02-14 15:49:54] [Epoch    85/  200] trn/loss 4.621e+00, trn/lr 1.862e+00, trn/scale 1.010e-01, val/acc 9.845e-03, val/nll 4.621e+00
[2023-02-14 15:50:03] [Epoch    86/  200] trn/loss 4.621e+00, trn/lr 1.839e+00, trn/scale 1.010e-01, val/acc 9.735e-03, val/nll 4.615e+00
[2023-02-14 15:50:11] [Epoch    87/  200] trn/loss 4.620e+00, trn/lr 1.816e+00, trn/scale 1.010e-01, val/acc 1.128e-02, val/nll 4.618e+00
[2023-02-14 15:50:19] [Epoch    88/  200] trn/loss 4.620e+00, trn/lr 1.793e+00, trn/scale 1.010e-01, val/acc 9.292e-03, val/nll 4.627e+00
[2023-02-14 15:50:27] [Epoch    89/  200] trn/loss 4.620e+00, trn/lr 1.770e+00, trn/scale 1.010e-01, val/acc 1.018e-02, val/nll 4.622e+00
[2023-02-14 15:50:35] [Epoch    90/  200] trn/loss 4.619e+00, trn/lr 1.746e+00, trn/scale 1.010e-01, val/acc 9.624e-03, val/nll 4.623e+00
[2023-02-14 15:50:43] [Epoch    91/  200] trn/loss 4.619e+00, trn/lr 1.723e+00, trn/scale 1.010e-01, val/acc 1.007e-02, val/nll 4.622e+00
[2023-02-14 15:50:52] [Epoch    92/  200] trn/loss 4.619e+00, trn/lr 1.700e+00, trn/scale 1.010e-01, val/acc 8.739e-03, val/nll 4.619e+00
[2023-02-14 15:51:00] [Epoch    93/  200] trn/loss 4.618e+00, trn/lr 1.676e+00, trn/scale 1.010e-01, val/acc 8.075e-03, val/nll 4.616e+00
[2023-02-14 15:51:08] [Epoch    94/  200] trn/loss 4.619e+00, trn/lr 1.653e+00, trn/scale 1.010e-01, val/acc 9.845e-03, val/nll 4.618e+00
