[2023-02-05 06:13:39] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-05 06:13:39] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-07
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 0
- args.num_epochs_noisy  : 50
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0000-0050_lr-0.0000003_mo-0.99_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 06:17:51] [Cycle   2/ 30][Epoch   3/ 50] trn/posterior_energy  3.160e+04, trn/neg_log_likelihood  3.277e+04, trn/neg_log_prior -1.175e+03, trn/lr  2.981e-07, trn/temperature  1.000e+00, val/acc 7.095e-01, val/nll 8.151e-01
[2023-02-05 06:17:55] [Cycle   2/ 30][Epoch   4/ 50] trn/posterior_energy  3.267e+04, trn/neg_log_likelihood  3.222e+04, trn/neg_log_prior  4.442e+02, trn/lr  2.964e-07, trn/temperature  1.000e+00, val/acc 6.817e-01, val/nll 9.002e-01
[2023-02-05 06:17:59] [Cycle   2/ 30][Epoch   5/ 50] trn/posterior_energy  3.377e+04, trn/neg_log_likelihood  3.196e+04, trn/neg_log_prior  1.817e+03, trn/lr  2.940e-07, trn/temperature  1.000e+00, val/acc 7.121e-01, val/nll 8.165e-01
[2023-02-05 06:18:03] [Cycle   2/ 30][Epoch   6/ 50] trn/posterior_energy  3.522e+04, trn/neg_log_likelihood  3.224e+04, trn/neg_log_prior  2.977e+03, trn/lr  2.911e-07, trn/temperature  1.000e+00, val/acc 7.102e-01, val/nll 8.203e-01
[2023-02-05 06:18:07] [Cycle   2/ 30][Epoch   7/ 50] trn/posterior_energy  3.591e+04, trn/neg_log_likelihood  3.177e+04, trn/neg_log_prior  4.136e+03, trn/lr  2.876e-07, trn/temperature  1.000e+00, val/acc 7.133e-01, val/nll 8.043e-01
[2023-02-05 06:18:11] [Cycle   2/ 30][Epoch   8/ 50] trn/posterior_energy  3.529e+04, trn/neg_log_likelihood  3.010e+04, trn/neg_log_prior  5.188e+03, trn/lr  2.836e-07, trn/temperature  1.000e+00, val/acc 7.232e-01, val/nll 7.929e-01
[2023-02-05 06:18:15] [Cycle   2/ 30][Epoch   9/ 50] trn/posterior_energy  3.688e+04, trn/neg_log_likelihood  3.080e+04, trn/neg_log_prior  6.081e+03, trn/lr  2.791e-07, trn/temperature  1.000e+00, val/acc 7.037e-01, val/nll 8.471e-01
[2023-02-05 06:18:19] [Cycle   2/ 30][Epoch  10/ 50] trn/posterior_energy  3.775e+04, trn/neg_log_likelihood  3.073e+04, trn/neg_log_prior  7.020e+03, trn/lr  2.740e-07, trn/temperature  1.000e+00, val/acc 6.983e-01, val/nll 8.775e-01
[2023-02-05 06:18:23] [Cycle   2/ 30][Epoch  11/ 50] trn/posterior_energy  3.788e+04, trn/neg_log_likelihood  3.021e+04, trn/neg_log_prior  7.665e+03, trn/lr  2.685e-07, trn/temperature  1.000e+00, val/acc 7.217e-01, val/nll 7.947e-01
[2023-02-05 06:18:27] [Cycle   2/ 30][Epoch  12/ 50] trn/posterior_energy  3.788e+04, trn/neg_log_likelihood  2.960e+04, trn/neg_log_prior  8.287e+03, trn/lr  2.625e-07, trn/temperature  1.000e+00, val/acc 7.225e-01, val/nll 7.899e-01
