[2023-02-06 13:13:32] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-06 13:13:32] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.97
- args.num_cycles        : 30
- args.num_epochs_quiet  : 50
- args.num_epochs_noisy  : 0
- args.prior_precision   : 20.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0050-0000_lr-0.0000030_mo-0.97_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-06 13:18:16] [Cycle   2/ 30][Epoch   8/ 50] trn/posterior_energy  2.378e+05, trn/neg_log_likelihood  7.255e+04, trn/neg_log_prior  1.652e+05, trn/lr  2.836e-06, trn/temperature  0.000e+00, val/acc 3.561e-01, val/nll 1.764e+00
[2023-02-06 13:18:20] [Cycle   2/ 30][Epoch   9/ 50] trn/posterior_energy  2.376e+05, trn/neg_log_likelihood  7.185e+04, trn/neg_log_prior  1.658e+05, trn/lr  2.791e-06, trn/temperature  0.000e+00, val/acc 3.722e-01, val/nll 1.696e+00
[2023-02-06 13:18:25] [Cycle   2/ 30][Epoch  10/ 50] trn/posterior_energy  2.363e+05, trn/neg_log_likelihood  6.993e+04, trn/neg_log_prior  1.663e+05, trn/lr  2.740e-06, trn/temperature  0.000e+00, val/acc 4.006e-01, val/nll 1.641e+00
[2023-02-06 13:18:29] [Cycle   2/ 30][Epoch  11/ 50] trn/posterior_energy  2.357e+05, trn/neg_log_likelihood  6.868e+04, trn/neg_log_prior  1.671e+05, trn/lr  2.685e-06, trn/temperature  0.000e+00, val/acc 3.931e-01, val/nll 1.626e+00
[2023-02-06 13:18:33] [Cycle   2/ 30][Epoch  12/ 50] trn/posterior_energy  2.345e+05, trn/neg_log_likelihood  6.707e+04, trn/neg_log_prior  1.674e+05, trn/lr  2.625e-06, trn/temperature  0.000e+00, val/acc 4.065e-01, val/nll 1.644e+00
[2023-02-06 13:18:37] [Cycle   2/ 30][Epoch  13/ 50] trn/posterior_energy  2.358e+05, trn/neg_log_likelihood  6.725e+04, trn/neg_log_prior  1.685e+05, trn/lr  2.561e-06, trn/temperature  0.000e+00, val/acc 4.105e-01, val/nll 1.605e+00
[2023-02-06 13:18:42] [Cycle   2/ 30][Epoch  14/ 50] trn/posterior_energy  2.346e+05, trn/neg_log_likelihood  6.573e+04, trn/neg_log_prior  1.688e+05, trn/lr  2.492e-06, trn/temperature  0.000e+00, val/acc 3.626e-01, val/nll 1.752e+00
[2023-02-06 13:18:46] [Cycle   2/ 30][Epoch  15/ 50] trn/posterior_energy  2.339e+05, trn/neg_log_likelihood  6.439e+04, trn/neg_log_prior  1.695e+05, trn/lr  2.419e-06, trn/temperature  0.000e+00, val/acc 4.600e-01, val/nll 1.478e+00
[2023-02-06 13:18:50] [Cycle   2/ 30][Epoch  16/ 50] trn/posterior_energy  2.323e+05, trn/neg_log_likelihood  6.289e+04, trn/neg_log_prior  1.694e+05, trn/lr  2.343e-06, trn/temperature  0.000e+00, val/acc 4.133e-01, val/nll 1.570e+00
[2023-02-06 13:18:55] [Cycle   2/ 30][Epoch  17/ 50] trn/posterior_energy  2.315e+05, trn/neg_log_likelihood  6.152e+04, trn/neg_log_prior  1.700e+05, trn/lr  2.264e-06, trn/temperature  0.000e+00, val/acc 4.554e-01, val/nll 1.511e+00
[2023-02-06 13:18:59] [Cycle   2/ 30][Epoch  18/ 50] trn/posterior_energy  2.291e+05, trn/neg_log_likelihood  5.900e+04, trn/neg_log_prior  1.701e+05, trn/lr  2.181e-06, trn/temperature  0.000e+00, val/acc 4.520e-01, val/nll 1.439e+00
[2023-02-06 13:19:03] [Cycle   2/ 30][Epoch  19/ 50] trn/posterior_energy  2.285e+05, trn/neg_log_likelihood  5.807e+04, trn/neg_log_prior  1.704e+05, trn/lr  2.096e-06, trn/temperature  0.000e+00, val/acc 4.584e-01, val/nll 1.509e+00
[2023-02-06 13:19:07] [Cycle   2/ 30][Epoch  20/ 50] trn/posterior_energy  2.311e+05, trn/neg_log_likelihood  5.851e+04, trn/neg_log_prior  1.726e+05, trn/lr  2.008e-06, trn/temperature  0.000e+00, val/acc 4.600e-01, val/nll 1.478e+00
[2023-02-06 13:19:12] [Cycle   2/ 30][Epoch  21/ 50] trn/posterior_energy  2.295e+05, trn/neg_log_likelihood  5.593e+04, trn/neg_log_prior  1.736e+05, trn/lr  1.919e-06, trn/temperature  0.000e+00, val/acc 5.103e-01, val/nll 1.325e+00
