[2023-02-03 04:55:03] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-03 04:55:03] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-07
- args.optim_momentum    : 0.7
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/bs-0080_ne-0500_lr-0.0000003_mo-0.70_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-03 04:59:45] [Epoch    63/  500] trn/posterior_energy -1.225e+05, trn/neg_log_likelihood  6.749e+01, trn/neg_log_prior -1.226e+05, trn/lr  2.886e-07, val/acc 7.552e-01, val/nll 1.213e+00
[2023-02-03 04:59:50] [Epoch    64/  500] trn/posterior_energy -1.225e+05, trn/neg_log_likelihood  6.217e+01, trn/neg_log_prior -1.226e+05, trn/lr  2.882e-07, val/acc 7.555e-01, val/nll 1.222e+00
[2023-02-03 04:59:54] [Epoch    65/  500] trn/posterior_energy -1.225e+05, trn/neg_log_likelihood  5.766e+01, trn/neg_log_prior -1.226e+05, trn/lr  2.878e-07, val/acc 7.550e-01, val/nll 1.231e+00
[2023-02-03 04:59:58] [Epoch    66/  500] trn/posterior_energy -1.226e+05, trn/neg_log_likelihood  5.388e+01, trn/neg_log_prior -1.226e+05, trn/lr  2.875e-07, val/acc 7.558e-01, val/nll 1.236e+00
[2023-02-03 05:00:02] [Epoch    67/  500] trn/posterior_energy -1.226e+05, trn/neg_log_likelihood  5.073e+01, trn/neg_log_prior -1.226e+05, trn/lr  2.871e-07, val/acc 7.541e-01, val/nll 1.244e+00
[2023-02-03 05:00:06] [Epoch    68/  500] trn/posterior_energy -1.226e+05, trn/neg_log_likelihood  4.794e+01, trn/neg_log_prior -1.226e+05, trn/lr  2.867e-07, val/acc 7.543e-01, val/nll 1.250e+00
[2023-02-03 05:00:09] [Epoch    69/  500] trn/posterior_energy -1.226e+05, trn/neg_log_likelihood  4.558e+01, trn/neg_log_prior -1.226e+05, trn/lr  2.863e-07, val/acc 7.555e-01, val/nll 1.255e+00
[2023-02-03 05:00:13] [Epoch    70/  500] trn/posterior_energy -1.226e+05, trn/neg_log_likelihood  4.348e+01, trn/neg_log_prior -1.226e+05, trn/lr  2.859e-07, val/acc 7.545e-01, val/nll 1.260e+00
[2023-02-03 05:00:17] [Epoch    71/  500] trn/posterior_energy -1.226e+05, trn/neg_log_likelihood  4.165e+01, trn/neg_log_prior -1.227e+05, trn/lr  2.855e-07, val/acc 7.537e-01, val/nll 1.266e+00
[2023-02-03 05:00:21] [Epoch    72/  500] trn/posterior_energy -1.226e+05, trn/neg_log_likelihood  3.996e+01, trn/neg_log_prior -1.227e+05, trn/lr  2.851e-07, val/acc 7.539e-01, val/nll 1.270e+00
[2023-02-03 05:00:25] [Epoch    73/  500] trn/posterior_energy -1.226e+05, trn/neg_log_likelihood  3.838e+01, trn/neg_log_prior -1.227e+05, trn/lr  2.847e-07, val/acc 7.545e-01, val/nll 1.274e+00
[2023-02-03 05:00:28] [Epoch    74/  500] trn/posterior_energy -1.226e+05, trn/neg_log_likelihood  3.704e+01, trn/neg_log_prior -1.227e+05, trn/lr  2.843e-07, val/acc 7.541e-01, val/nll 1.277e+00
[2023-02-03 05:00:32] [Epoch    75/  500] trn/posterior_energy -1.227e+05, trn/neg_log_likelihood  3.575e+01, trn/neg_log_prior -1.227e+05, trn/lr  2.839e-07, val/acc 7.544e-01, val/nll 1.283e+00
[2023-02-03 05:00:36] [Epoch    76/  500] trn/posterior_energy -1.227e+05, trn/neg_log_likelihood  3.465e+01, trn/neg_log_prior -1.227e+05, trn/lr  2.834e-07, val/acc 7.545e-01, val/nll 1.284e+00
[2023-02-03 05:00:40] [Epoch    77/  500] trn/posterior_energy -1.227e+05, trn/neg_log_likelihood  3.358e+01, trn/neg_log_prior -1.227e+05, trn/lr  2.830e-07, val/acc 7.543e-01, val/nll 1.289e+00
[2023-02-03 05:00:44] [Epoch    78/  500] trn/posterior_energy -1.227e+05, trn/neg_log_likelihood  3.264e+01, trn/neg_log_prior -1.227e+05, trn/lr  2.826e-07, val/acc 7.543e-01, val/nll 1.294e+00
[2023-02-03 05:00:48] [Epoch    79/  500] trn/posterior_energy -1.227e+05, trn/neg_log_likelihood  3.175e+01, trn/neg_log_prior -1.227e+05, trn/lr  2.821e-07, val/acc 7.529e-01, val/nll 1.296e+00
[2023-02-03 05:00:52] [Epoch    80/  500] trn/posterior_energy -1.227e+05, trn/neg_log_likelihood  3.092e+01, trn/neg_log_prior -1.227e+05, trn/lr  2.817e-07, val/acc 7.535e-01, val/nll 1.297e+00
[2023-02-03 05:00:55] [Epoch    81/  500] trn/posterior_energy -1.227e+05, trn/neg_log_likelihood  3.016e+01, trn/neg_log_prior -1.227e+05, trn/lr  2.812e-07, val/acc 7.538e-01, val/nll 1.299e+00
[2023-02-03 05:00:59] [Epoch    82/  500] trn/posterior_energy -1.227e+05, trn/neg_log_likelihood  2.944e+01, trn/neg_log_prior -1.227e+05, trn/lr  2.808e-07, val/acc 7.539e-01, val/nll 1.302e+00
