[2023-02-04 21:55:10] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-04 21:55:10] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.7
- args.num_cycles        : 30
- args.num_epochs_quiet  : 0
- args.num_epochs_noisy  : 50
- args.prior_precision   : 80.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0000-0050_lr-0.0000001_mo-0.70_pr-05/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-04 21:59:26] [Cycle   2/ 30][Epoch   2/ 50] trn/posterior_energy  5.144e+05, trn/neg_log_likelihood  4.543e+04, trn/neg_log_prior  4.690e+05, trn/lr  9.977e-08, trn/temperature  1.000e+00, val/acc 5.990e-01, val/nll 1.105e+00
[2023-02-04 21:59:30] [Cycle   2/ 30][Epoch   3/ 50] trn/posterior_energy  5.146e+05, trn/neg_log_likelihood  4.494e+04, trn/neg_log_prior  4.696e+05, trn/lr  9.938e-08, trn/temperature  1.000e+00, val/acc 6.075e-01, val/nll 1.083e+00
[2023-02-04 21:59:34] [Cycle   2/ 30][Epoch   4/ 50] trn/posterior_energy  5.144e+05, trn/neg_log_likelihood  4.405e+04, trn/neg_log_prior  4.704e+05, trn/lr  9.879e-08, trn/temperature  1.000e+00, val/acc 5.985e-01, val/nll 1.110e+00
[2023-02-04 21:59:39] [Cycle   2/ 30][Epoch   5/ 50] trn/posterior_energy  5.144e+05, trn/neg_log_likelihood  4.344e+04, trn/neg_log_prior  4.710e+05, trn/lr  9.801e-08, trn/temperature  1.000e+00, val/acc 6.156e-01, val/nll 1.062e+00
[2023-02-04 21:59:43] [Cycle   2/ 30][Epoch   6/ 50] trn/posterior_energy  5.148e+05, trn/neg_log_likelihood  4.323e+04, trn/neg_log_prior  4.716e+05, trn/lr  9.704e-08, trn/temperature  1.000e+00, val/acc 6.184e-01, val/nll 1.050e+00
[2023-02-04 21:59:47] [Cycle   2/ 30][Epoch   7/ 50] trn/posterior_energy  5.150e+05, trn/neg_log_likelihood  4.282e+04, trn/neg_log_prior  4.722e+05, trn/lr  9.588e-08, trn/temperature  1.000e+00, val/acc 6.257e-01, val/nll 1.041e+00
[2023-02-04 21:59:51] [Cycle   2/ 30][Epoch   8/ 50] trn/posterior_energy  5.148e+05, trn/neg_log_likelihood  4.207e+04, trn/neg_log_prior  4.727e+05, trn/lr  9.454e-08, trn/temperature  1.000e+00, val/acc 5.961e-01, val/nll 1.096e+00
[2023-02-04 21:59:55] [Cycle   2/ 30][Epoch   9/ 50] trn/posterior_energy  5.150e+05, trn/neg_log_likelihood  4.170e+04, trn/neg_log_prior  4.733e+05, trn/lr  9.303e-08, trn/temperature  1.000e+00, val/acc 6.261e-01, val/nll 1.031e+00
[2023-02-04 22:00:00] [Cycle   2/ 30][Epoch  10/ 50] trn/posterior_energy  5.151e+05, trn/neg_log_likelihood  4.130e+04, trn/neg_log_prior  4.738e+05, trn/lr  9.135e-08, trn/temperature  1.000e+00, val/acc 6.344e-01, val/nll 1.006e+00
[2023-02-04 22:00:04] [Cycle   2/ 30][Epoch  11/ 50] trn/posterior_energy  5.152e+05, trn/neg_log_likelihood  4.090e+04, trn/neg_log_prior  4.743e+05, trn/lr  8.950e-08, trn/temperature  1.000e+00, val/acc 6.220e-01, val/nll 1.044e+00
[2023-02-04 22:00:08] [Cycle   2/ 30][Epoch  12/ 50] trn/posterior_energy  5.151e+05, trn/neg_log_likelihood  4.033e+04, trn/neg_log_prior  4.748e+05, trn/lr  8.750e-08, trn/temperature  1.000e+00, val/acc 6.374e-01, val/nll 1.001e+00
[2023-02-04 22:00:12] [Cycle   2/ 30][Epoch  13/ 50] trn/posterior_energy  5.153e+05, trn/neg_log_likelihood  4.004e+04, trn/neg_log_prior  4.752e+05, trn/lr  8.535e-08, trn/temperature  1.000e+00, val/acc 6.394e-01, val/nll 9.936e-01
[2023-02-04 22:00:17] [Cycle   2/ 30][Epoch  14/ 50] trn/posterior_energy  5.150e+05, trn/neg_log_likelihood  3.942e+04, trn/neg_log_prior  4.756e+05, trn/lr  8.306e-08, trn/temperature  1.000e+00, val/acc 6.142e-01, val/nll 1.071e+00
[2023-02-04 22:00:21] [Cycle   2/ 30][Epoch  15/ 50] trn/posterior_energy  5.150e+05, trn/neg_log_likelihood  3.903e+04, trn/neg_log_prior  4.759e+05, trn/lr  8.064e-08, trn/temperature  1.000e+00, val/acc 6.259e-01, val/nll 1.026e+00
[2023-02-04 22:00:25] [Cycle   2/ 30][Epoch  16/ 50] trn/posterior_energy  5.148e+05, trn/neg_log_likelihood  3.853e+04, trn/neg_log_prior  4.763e+05, trn/lr  7.810e-08, trn/temperature  1.000e+00, val/acc 6.559e-01, val/nll 9.602e-01
[2023-02-04 22:00:29] [Cycle   2/ 30][Epoch  17/ 50] trn/posterior_energy  5.150e+05, trn/neg_log_likelihood  3.835e+04, trn/neg_log_prior  4.766e+05, trn/lr  7.545e-08, trn/temperature  1.000e+00, val/acc 6.228e-01, val/nll 1.039e+00
[2023-02-04 22:00:33] [Cycle   2/ 30][Epoch  18/ 50] trn/posterior_energy  5.145e+05, trn/neg_log_likelihood  3.760e+04, trn/neg_log_prior  4.769e+05, trn/lr  7.270e-08, trn/temperature  1.000e+00, val/acc 6.488e-01, val/nll 9.663e-01
[2023-02-04 22:00:38] [Cycle   2/ 30][Epoch  19/ 50] trn/posterior_energy  5.146e+05, trn/neg_log_likelihood  3.755e+04, trn/neg_log_prior  4.771e+05, trn/lr  6.986e-08, trn/temperature  1.000e+00, val/acc 6.506e-01, val/nll 9.622e-01
[2023-02-04 22:00:42] [Cycle   2/ 30][Epoch  20/ 50] trn/posterior_energy  5.142e+05, trn/neg_log_likelihood  3.685e+04, trn/neg_log_prior  4.774e+05, trn/lr  6.694e-08, trn/temperature  1.000e+00, val/acc 6.592e-01, val/nll 9.548e-01
[2023-02-04 22:00:46] [Cycle   2/ 30][Epoch  21/ 50] trn/posterior_energy  5.143e+05, trn/neg_log_likelihood  3.667e+04, trn/neg_log_prior  4.776e+05, trn/lr  6.395e-08, trn/temperature  1.000e+00, val/acc 6.204e-01, val/nll 1.054e+00
[2023-02-04 22:00:50] [Cycle   2/ 30][Epoch  22/ 50] trn/posterior_energy  5.142e+05, trn/neg_log_likelihood  3.628e+04, trn/neg_log_prior  4.779e+05, trn/lr  6.091e-08, trn/temperature  1.000e+00, val/acc 6.379e-01, val/nll 9.926e-01
[2023-02-04 22:00:54] [Cycle   2/ 30][Epoch  23/ 50] trn/posterior_energy  5.143e+05, trn/neg_log_likelihood  3.611e+04, trn/neg_log_prior  4.782e+05, trn/lr  5.782e-08, trn/temperature  1.000e+00, val/acc 6.655e-01, val/nll 9.317e-01
