[2023-02-03 21:30:25] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-03 21:30:25] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR100_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.97
- args.prior_precision   : 40.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR100_x32/R20-FRN-Swish/bs-0080_ne-0500_lr-0.0000030_mo-0.97_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-03 21:35:46] [Epoch    79/  500] trn/posterior_energy  4.390e+05, trn/neg_log_likelihood  1.693e+05, trn/neg_log_prior  2.697e+05, trn/lr  2.821e-06, val/acc 5.465e-02, val/nll 4.192e+00
[2023-02-03 21:35:50] [Epoch    80/  500] trn/posterior_energy  4.391e+05, trn/neg_log_likelihood  1.697e+05, trn/neg_log_prior  2.694e+05, trn/lr  2.817e-06, val/acc 6.062e-02, val/nll 4.104e+00
[2023-02-03 21:35:54] [Epoch    81/  500] trn/posterior_energy  4.380e+05, trn/neg_log_likelihood  1.695e+05, trn/neg_log_prior  2.685e+05, trn/lr  2.812e-06, val/acc 5.542e-02, val/nll 4.144e+00
[2023-02-03 21:35:58] [Epoch    82/  500] trn/posterior_energy  4.375e+05, trn/neg_log_likelihood  1.690e+05, trn/neg_log_prior  2.685e+05, trn/lr  2.808e-06, val/acc 5.708e-02, val/nll 4.107e+00
[2023-02-03 21:36:02] [Epoch    83/  500] trn/posterior_energy  4.490e+05, trn/neg_log_likelihood  1.703e+05, trn/neg_log_prior  2.788e+05, trn/lr  2.803e-06, val/acc 5.686e-02, val/nll 4.140e+00
[2023-02-03 21:36:05] [Epoch    84/  500] trn/posterior_energy  4.407e+05, trn/neg_log_likelihood  1.692e+05, trn/neg_log_prior  2.715e+05, trn/lr  2.798e-06, val/acc 4.635e-02, val/nll 4.209e+00
[2023-02-03 21:36:09] [Epoch    85/  500] trn/posterior_energy  4.443e+05, trn/neg_log_likelihood  1.696e+05, trn/neg_log_prior  2.747e+05, trn/lr  2.794e-06, val/acc 5.111e-02, val/nll 4.158e+00
[2023-02-03 21:36:13] [Epoch    86/  500] trn/posterior_energy  4.441e+05, trn/neg_log_likelihood  1.696e+05, trn/neg_log_prior  2.745e+05, trn/lr  2.789e-06, val/acc 5.664e-02, val/nll 4.135e+00
[2023-02-03 21:36:17] [Epoch    87/  500] trn/posterior_energy  4.386e+05, trn/neg_log_likelihood  1.701e+05, trn/neg_log_prior  2.685e+05, trn/lr  2.784e-06, val/acc 5.575e-02, val/nll 4.163e+00
[2023-02-03 21:36:20] [Epoch    88/  500] trn/posterior_energy  4.381e+05, trn/neg_log_likelihood  1.693e+05, trn/neg_log_prior  2.689e+05, trn/lr  2.779e-06, val/acc 5.265e-02, val/nll 4.191e+00
