[2023-02-10 23:12:37] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-10 23:12:37] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 1.0
- args.optim_b1           : 0.9
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.003
- args.rho                : 0.01
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-1.00_b1-0.900_b2-0.999_wd-0.0030_eps-1e-1_rho-0.0100_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-10 23:12:51] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-10 23:23:57] [Epoch    73/  200] trn/loss 2.011e+00, trn/lr 7.093e-01, trn/scale 1.030e-01, val/acc 1.385e-01, val/nll 2.325e+00
[2023-02-10 23:24:05] [Epoch    74/  200] trn/loss 1.948e+00, trn/lr 7.022e-01, trn/scale 1.030e-01, val/acc 1.168e-01, val/nll 2.237e+00
[2023-02-10 23:24:13] [Epoch    75/  200] trn/loss 1.993e+00, trn/lr 6.950e-01, trn/scale 1.030e-01, val/acc 1.087e-01, val/nll 4.066e+00
[2023-02-10 23:24:21] [Epoch    76/  200] trn/loss 1.996e+00, trn/lr 6.877e-01, trn/scale 1.030e-01, val/acc 1.153e-01, val/nll 4.314e+00
[2023-02-10 23:24:29] [Epoch    77/  200] trn/loss 1.955e+00, trn/lr 6.804e-01, trn/scale 1.030e-01, val/acc 1.114e-01, val/nll 5.446e+00
[2023-02-10 23:24:37] [Epoch    78/  200] trn/loss 1.958e+00, trn/lr 6.731e-01, trn/scale 1.030e-01, val/acc 1.646e-01, val/nll 2.193e+00
[2023-02-10 23:24:46] [Epoch    79/  200] trn/loss 2.070e+00, trn/lr 6.657e-01, trn/scale 1.030e-01, val/acc 9.978e-02, val/nll 2.615e+00
[2023-02-10 23:24:54] [Epoch    80/  200] trn/loss 2.020e+00, trn/lr 6.583e-01, trn/scale 1.030e-01, val/acc 1.085e-01, val/nll 2.410e+00
[2023-02-10 23:25:02] [Epoch    81/  200] trn/loss 2.025e+00, trn/lr 6.508e-01, trn/scale 1.030e-01, val/acc 1.831e-01, val/nll 2.153e+00
[2023-02-10 23:25:10] [Epoch    82/  200] trn/loss 2.082e+00, trn/lr 6.433e-01, trn/scale 1.030e-01, val/acc 1.677e-01, val/nll 2.523e+00
[2023-02-10 23:25:18] [Epoch    83/  200] trn/loss 2.074e+00, trn/lr 6.357e-01, trn/scale 1.030e-01, val/acc 1.315e-01, val/nll 2.257e+00
[2023-02-10 23:25:27] [Epoch    84/  200] trn/loss 2.098e+00, trn/lr 6.282e-01, trn/scale 1.030e-01, val/acc 1.044e-01, val/nll 5.008e+00
[2023-02-10 23:25:35] [Epoch    85/  200] trn/loss 2.087e+00, trn/lr 6.206e-01, trn/scale 1.030e-01, val/acc 1.105e-01, val/nll 2.490e+00
[2023-02-10 23:25:43] [Epoch    86/  200] trn/loss 2.066e+00, trn/lr 6.129e-01, trn/scale 1.030e-01, val/acc 1.926e-01, val/nll 2.026e+00
[2023-02-10 23:25:51] [Epoch    87/  200] trn/loss 2.098e+00, trn/lr 6.053e-01, trn/scale 1.030e-01, val/acc 1.032e-01, val/nll 2.538e+00
