[2023-02-11 07:39:40] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-11 07:39:40] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 200
- args.num_epochs_noisy  : 0
- args.prior_precision   : 20.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0200-0000_lr-0.0000001_mo-0.99_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-11 07:43:52] [Cycle   1/ 30][Epoch  65/200] trn/posterior_energy  1.868e+05, trn/neg_log_likelihood  9.747e+03, trn/neg_log_prior  1.770e+05, trn/lr  7.646e-08, trn/temperature  0.000e+00, val/acc 8.013e-01, val/nll 6.442e-01
[2023-02-11 07:43:55] [Cycle   1/ 30][Epoch  66/200] trn/posterior_energy  1.861e+05, trn/neg_log_likelihood  8.971e+03, trn/neg_log_prior  1.772e+05, trn/lr  7.579e-08, trn/temperature  0.000e+00, val/acc 7.894e-01, val/nll 7.052e-01
[2023-02-11 07:43:59] [Cycle   1/ 30][Epoch  67/200] trn/posterior_energy  1.854e+05, trn/neg_log_likelihood  8.263e+03, trn/neg_log_prior  1.771e+05, trn/lr  7.511e-08, trn/temperature  0.000e+00, val/acc 7.935e-01, val/nll 6.925e-01
[2023-02-11 07:44:02] [Cycle   1/ 30][Epoch  68/200] trn/posterior_energy  1.856e+05, trn/neg_log_likelihood  8.558e+03, trn/neg_log_prior  1.770e+05, trn/lr  7.443e-08, trn/temperature  0.000e+00, val/acc 7.918e-01, val/nll 7.043e-01
[2023-02-11 07:44:06] [Cycle   1/ 30][Epoch  69/200] trn/posterior_energy  1.848e+05, trn/neg_log_likelihood  7.790e+03, trn/neg_log_prior  1.770e+05, trn/lr  7.374e-08, trn/temperature  0.000e+00, val/acc 7.885e-01, val/nll 7.225e-01
[2023-02-11 07:44:09] [Cycle   1/ 30][Epoch  70/200] trn/posterior_energy  1.834e+05, trn/neg_log_likelihood  6.673e+03, trn/neg_log_prior  1.767e+05, trn/lr  7.305e-08, trn/temperature  0.000e+00, val/acc 7.832e-01, val/nll 7.559e-01
[2023-02-11 07:44:13] [Cycle   1/ 30][Epoch  71/200] trn/posterior_energy  1.855e+05, trn/neg_log_likelihood  8.857e+03, trn/neg_log_prior  1.767e+05, trn/lr  7.235e-08, trn/temperature  0.000e+00, val/acc 8.082e-01, val/nll 6.476e-01
[2023-02-11 07:44:17] [Cycle   1/ 30][Epoch  72/200] trn/posterior_energy  1.840e+05, trn/neg_log_likelihood  7.391e+03, trn/neg_log_prior  1.766e+05, trn/lr  7.164e-08, trn/temperature  0.000e+00, val/acc 7.721e-01, val/nll 8.070e-01
[2023-02-11 07:44:20] [Cycle   1/ 30][Epoch  73/200] trn/posterior_energy  1.853e+05, trn/neg_log_likelihood  8.660e+03, trn/neg_log_prior  1.767e+05, trn/lr  7.093e-08, trn/temperature  0.000e+00, val/acc 7.990e-01, val/nll 6.614e-01
[2023-02-11 07:44:24] [Cycle   1/ 30][Epoch  74/200] trn/posterior_energy  1.838e+05, trn/neg_log_likelihood  7.086e+03, trn/neg_log_prior  1.767e+05, trn/lr  7.022e-08, trn/temperature  0.000e+00, val/acc 7.980e-01, val/nll 6.941e-01
[2023-02-11 07:44:27] [Cycle   1/ 30][Epoch  75/200] trn/posterior_energy  1.843e+05, trn/neg_log_likelihood  7.727e+03, trn/neg_log_prior  1.766e+05, trn/lr  6.950e-08, trn/temperature  0.000e+00, val/acc 8.017e-01, val/nll 6.710e-01
