[2023-02-03 21:10:53] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-03 21:10:53] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR100_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.9
- args.prior_precision   : 80.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR100_x32/R20-FRN-Swish/bs-0080_ne-0500_lr-0.0000030_mo-0.90_pr-05/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-03 21:14:50] [Epoch    55/  500] trn/posterior_energy  5.315e+05, trn/neg_log_likelihood  1.648e+05, trn/neg_log_prior  3.668e+05, trn/lr  2.913e-06, val/acc 7.002e-02, val/nll 3.996e+00
[2023-02-03 21:14:54] [Epoch    56/  500] trn/posterior_energy  5.308e+05, trn/neg_log_likelihood  1.644e+05, trn/neg_log_prior  3.665e+05, trn/lr  2.910e-06, val/acc 5.730e-02, val/nll 4.061e+00
[2023-02-03 21:14:58] [Epoch    57/  500] trn/posterior_energy  5.315e+05, trn/neg_log_likelihood  1.653e+05, trn/neg_log_prior  3.663e+05, trn/lr  2.906e-06, val/acc 5.985e-02, val/nll 4.027e+00
[2023-02-03 21:15:01] [Epoch    58/  500] trn/posterior_energy  5.312e+05, trn/neg_log_likelihood  1.646e+05, trn/neg_log_prior  3.666e+05, trn/lr  2.903e-06, val/acc 5.332e-02, val/nll 4.149e+00
[2023-02-03 21:15:05] [Epoch    59/  500] trn/posterior_energy  5.308e+05, trn/neg_log_likelihood  1.643e+05, trn/neg_log_prior  3.665e+05, trn/lr  2.900e-06, val/acc 5.686e-02, val/nll 4.106e+00
[2023-02-03 21:15:09] [Epoch    60/  500] trn/posterior_energy  5.311e+05, trn/neg_log_likelihood  1.643e+05, trn/neg_log_prior  3.667e+05, trn/lr  2.896e-06, val/acc 5.819e-02, val/nll 4.034e+00
[2023-02-03 21:15:13] [Epoch    61/  500] trn/posterior_energy  5.311e+05, trn/neg_log_likelihood  1.641e+05, trn/neg_log_prior  3.670e+05, trn/lr  2.893e-06, val/acc 5.951e-02, val/nll 4.102e+00
[2023-02-03 21:15:17] [Epoch    62/  500] trn/posterior_energy  5.313e+05, trn/neg_log_likelihood  1.644e+05, trn/neg_log_prior  3.669e+05, trn/lr  2.889e-06, val/acc 4.303e-02, val/nll 4.116e+00
[2023-02-03 21:15:21] [Epoch    63/  500] trn/posterior_energy  5.306e+05, trn/neg_log_likelihood  1.640e+05, trn/neg_log_prior  3.667e+05, trn/lr  2.886e-06, val/acc 6.350e-02, val/nll 4.008e+00
[2023-02-03 21:15:24] [Epoch    64/  500] trn/posterior_energy  5.305e+05, trn/neg_log_likelihood  1.639e+05, trn/neg_log_prior  3.666e+05, trn/lr  2.882e-06, val/acc 7.024e-02, val/nll 3.978e+00
[2023-02-03 21:15:29] [Epoch    65/  500] trn/posterior_energy  5.303e+05, trn/neg_log_likelihood  1.636e+05, trn/neg_log_prior  3.667e+05, trn/lr  2.878e-06, val/acc 7.876e-02, val/nll 3.963e+00 (best_acc: 7.854e-02 -> 7.876e-02, test_acc: 7.170e-02, test_nll: 3.970e+00)
[2023-02-03 21:15:33] [Epoch    66/  500] trn/posterior_energy  5.313e+05, trn/neg_log_likelihood  1.644e+05, trn/neg_log_prior  3.669e+05, trn/lr  2.875e-06, val/acc 6.416e-02, val/nll 4.042e+00
[2023-02-03 21:15:36] [Epoch    67/  500] trn/posterior_energy  5.302e+05, trn/neg_log_likelihood  1.634e+05, trn/neg_log_prior  3.668e+05, trn/lr  2.871e-06, val/acc 5.830e-02, val/nll 3.991e+00
[2023-02-03 21:15:40] [Epoch    68/  500] trn/posterior_energy  5.311e+05, trn/neg_log_likelihood  1.644e+05, trn/neg_log_prior  3.668e+05, trn/lr  2.867e-06, val/acc 5.675e-02, val/nll 4.016e+00
[2023-02-03 21:15:44] [Epoch    69/  500] trn/posterior_energy  5.309e+05, trn/neg_log_likelihood  1.640e+05, trn/neg_log_prior  3.669e+05, trn/lr  2.863e-06, val/acc 6.881e-02, val/nll 3.952e+00
[2023-02-03 21:15:48] [Epoch    70/  500] trn/posterior_energy  5.303e+05, trn/neg_log_likelihood  1.635e+05, trn/neg_log_prior  3.668e+05, trn/lr  2.859e-06, val/acc 7.655e-02, val/nll 3.966e+00
[2023-02-03 21:15:52] [Epoch    71/  500] trn/posterior_energy  5.306e+05, trn/neg_log_likelihood  1.639e+05, trn/neg_log_prior  3.667e+05, trn/lr  2.855e-06, val/acc 6.095e-02, val/nll 4.042e+00
[2023-02-03 21:15:56] [Epoch    72/  500] trn/posterior_energy  5.312e+05, trn/neg_log_likelihood  1.643e+05, trn/neg_log_prior  3.669e+05, trn/lr  2.851e-06, val/acc 7.091e-02, val/nll 4.087e+00
[2023-02-03 21:16:00] [Epoch    73/  500] trn/posterior_energy  5.308e+05, trn/neg_log_likelihood  1.639e+05, trn/neg_log_prior  3.669e+05, trn/lr  2.847e-06, val/acc 6.250e-02, val/nll 4.002e+00
[2023-02-03 21:16:03] [Epoch    74/  500] trn/posterior_energy  5.308e+05, trn/neg_log_likelihood  1.640e+05, trn/neg_log_prior  3.669e+05, trn/lr  2.843e-06, val/acc 5.808e-02, val/nll 4.047e+00
[2023-02-03 21:16:07] [Epoch    75/  500] trn/posterior_energy  5.308e+05, trn/neg_log_likelihood  1.638e+05, trn/neg_log_prior  3.669e+05, trn/lr  2.839e-06, val/acc 6.881e-02, val/nll 4.019e+00
[2023-02-03 21:16:11] [Epoch    76/  500] trn/posterior_energy  5.364e+05, trn/neg_log_likelihood  1.638e+05, trn/neg_log_prior  3.726e+05, trn/lr  2.834e-06, val/acc 5.509e-02, val/nll 4.136e+00
[2023-02-03 21:16:15] [Epoch    77/  500] trn/posterior_energy  5.315e+05, trn/neg_log_likelihood  1.639e+05, trn/neg_log_prior  3.676e+05, trn/lr  2.830e-06, val/acc 7.113e-02, val/nll 3.969e+00
[2023-02-03 21:16:19] [Epoch    78/  500] trn/posterior_energy  5.304e+05, trn/neg_log_likelihood  1.634e+05, trn/neg_log_prior  3.670e+05, trn/lr  2.826e-06, val/acc 6.405e-02, val/nll 3.987e+00
[2023-02-03 21:16:22] [Epoch    79/  500] trn/posterior_energy  5.303e+05, trn/neg_log_likelihood  1.635e+05, trn/neg_log_prior  3.669e+05, trn/lr  2.821e-06, val/acc 6.593e-02, val/nll 3.988e+00
[2023-02-03 21:16:26] [Epoch    80/  500] trn/posterior_energy  5.308e+05, trn/neg_log_likelihood  1.636e+05, trn/neg_log_prior  3.672e+05, trn/lr  2.817e-06, val/acc 6.327e-02, val/nll 3.969e+00
[2023-02-03 21:16:30] [Epoch    81/  500] trn/posterior_energy  5.306e+05, trn/neg_log_likelihood  1.635e+05, trn/neg_log_prior  3.671e+05, trn/lr  2.812e-06, val/acc 5.918e-02, val/nll 3.977e+00
[2023-02-03 21:16:34] [Epoch    82/  500] trn/posterior_energy  5.307e+05, trn/neg_log_likelihood  1.638e+05, trn/neg_log_prior  3.669e+05, trn/lr  2.808e-06, val/acc 6.903e-02, val/nll 3.987e+00
[2023-02-03 21:16:38] [Epoch    83/  500] trn/posterior_energy  5.302e+05, trn/neg_log_likelihood  1.633e+05, trn/neg_log_prior  3.669e+05, trn/lr  2.803e-06, val/acc 6.106e-02, val/nll 3.994e+00
[2023-02-03 21:16:41] [Epoch    84/  500] trn/posterior_energy  5.302e+05, trn/neg_log_likelihood  1.633e+05, trn/neg_log_prior  3.669e+05, trn/lr  2.798e-06, val/acc 7.666e-02, val/nll 3.952e+00
[2023-02-03 21:16:45] [Epoch    85/  500] trn/posterior_energy  5.308e+05, trn/neg_log_likelihood  1.637e+05, trn/neg_log_prior  3.671e+05, trn/lr  2.794e-06, val/acc 6.715e-02, val/nll 4.009e+00
[2023-02-03 21:16:49] [Epoch    86/  500] trn/posterior_energy  5.311e+05, trn/neg_log_likelihood  1.639e+05, trn/neg_log_prior  3.671e+05, trn/lr  2.789e-06, val/acc 6.914e-02, val/nll 3.967e+00
